aggregator	mode	split	stage_pair	rna_to_image_recall@1	rna_to_image_recall@5	image_to_rna_recall@1	image_to_rna_recall@5	rna_to_image_median_rank	image_to_rna_median_rank
attention	eval	train	raw_cls	0.0625	0.25	0.0625	0.1875	13.5	13.0
attention	eval	train	token_patch_mean	0.0625	0.1875	0.0625	0.25	16.0	12.5
attention	eval	train	projection_pre_norm	0.0625	0.25	0.0625	0.25	15.0	10.0
attention	eval	train	projection_norm_instance_mean	0.0625	0.25	0.0625	0.25	15.0	10.0
attention	eval	train	shared_after_aggregator	0.0625	0.3125	0.0625	0.25	16.0	10.0
attention	eval	val	raw_cls	0.0625	0.25	0.0625	0.3125	12.5	9.5
attention	eval	val	token_patch_mean	0.0625	0.1875	0.0625	0.25	16.0	10.5
attention	eval	val	projection_pre_norm	0.0625	0.1875	0.0625	0.3125	15.0	10.5
attention	eval	val	projection_norm_instance_mean	0.0625	0.1875	0.0625	0.3125	15.0	10.5
attention	eval	val	shared_after_aggregator	0.0625	0.25	0.0625	0.25	15.5	9.5
attention	eval	test	raw_cls	0.0625	0.3125	0.0625	0.25	11.5	9.5
attention	eval	test	token_patch_mean	0.0625	0.1875	0.0625	0.25	15.5	10.0
attention	eval	test	projection_pre_norm	0.0625	0.21875	0.0625	0.3125	15.0	10.0
attention	eval	test	projection_norm_instance_mean	0.0625	0.21875	0.0625	0.3125	15.0	10.0
attention	eval	test	shared_after_aggregator	0.0625	0.1875	0.0625	0.25	16.0	10.5
attention	train_no_grad	train	raw_cls	0.0625	0.25	0.0625	0.1875	14.5	10.0
attention	train_no_grad	train	token_patch_mean	0.0625	0.25	0.0625	0.3125	12.5	11.5
attention	train_no_grad	train	projection_pre_norm	0.0625	0.25	0.0625	0.3125	10.5	8.5
attention	train_no_grad	train	projection_norm_instance_mean	0.0625	0.25	0.0625	0.25	10.0	8.5
attention	train_no_grad	train	shared_after_aggregator	0.0625	0.40625	0.15625	0.3125	7.5	9.0
attention	train_no_grad	val	raw_cls	0.03125	0.3125	0.0625	0.3125	9.0	9.5
attention	train_no_grad	val	token_patch_mean	0.0625	0.1875	0.0625	0.25	12.5	10.5
attention	train_no_grad	val	projection_pre_norm	0.0625	0.28125	0.09375	0.25	10.0	12.0
attention	train_no_grad	val	projection_norm_instance_mean	0.03125	0.3125	0.125	0.25	9.5	12.5
attention	train_no_grad	val	shared_after_aggregator	0.15625	0.25	0.0625	0.21875	10.0	11.0
attention	train_no_grad	test	raw_cls	0.0625	0.3125	0.0625	0.3125	11.0	11.0
attention	train_no_grad	test	token_patch_mean	0.0625	0.3125	0.0625	0.25	12.0	9.5
attention	train_no_grad	test	projection_pre_norm	0.0625	0.28125	0.0625	0.28125	9.5	10.5
attention	train_no_grad	test	projection_norm_instance_mean	0.0625	0.34375	0.0625	0.3125	9.5	11.0
attention	train_no_grad	test	shared_after_aggregator	0.09375	0.25	0.0625	0.375	10.0	8.0
mean	eval	train	raw_cls	0.0625	0.1875	0.0625	0.3125	13.5	10.5
mean	eval	train	token_patch_mean	0.0625	0.1875	0.0625	0.1875	16.0	12.5
mean	eval	train	projection_pre_norm	0.0625	0.1875	0.0625	0.25	16.0	12.5
mean	eval	train	projection_norm_instance_mean	0.0625	0.1875	0.0625	0.25	16.0	12.5
mean	eval	train	shared_after_aggregator	0.0625	0.1875	0.0625	0.25	15.0	12.5
mean	eval	val	raw_cls	0.0625	0.21875	0.0625	0.3125	15.0	8.5
mean	eval	val	token_patch_mean	0.03125	0.25	0.0625	0.3125	16.0	8.5
mean	eval	val	projection_pre_norm	0.0625	0.1875	0.0625	0.28125	16.0	11.0
mean	eval	val	projection_norm_instance_mean	0.0625	0.1875	0.0625	0.28125	16.0	11.0
mean	eval	val	shared_after_aggregator	0.0625	0.1875	0.0625	0.3125	15.0	11.5
mean	eval	test	raw_cls	0.0625	0.25	0.0625	0.3125	13.5	8.5
mean	eval	test	token_patch_mean	0.0625	0.1875	0.0625	0.3125	16.0	10.0
mean	eval	test	projection_pre_norm	0.0625	0.1875	0.0625	0.25	15.0	10.5
mean	eval	test	projection_norm_instance_mean	0.0625	0.1875	0.0625	0.25	15.0	10.5
mean	eval	test	shared_after_aggregator	0.0625	0.25	0.0625	0.1875	16.0	10.0
mean	train_no_grad	train	raw_cls	0.09375	0.3125	0.0625	0.3125	10.5	9.0
mean	train_no_grad	train	token_patch_mean	0.0	0.25	0.0625	0.25	14.0	12.5
mean	train_no_grad	train	projection_pre_norm	0.03125	0.21875	0.0625	0.28125	11.0	8.5
mean	train_no_grad	train	projection_norm_instance_mean	0.0625	0.21875	0.0625	0.34375	11.0	9.0
mean	train_no_grad	train	shared_after_aggregator	0.09375	0.28125	0.03125	0.34375	10.0	11.5
mean	train_no_grad	val	raw_cls	0.09375	0.25	0.03125	0.3125	10.0	10.0
mean	train_no_grad	val	token_patch_mean	0.0625	0.21875	0.03125	0.3125	12.5	10.5
mean	train_no_grad	val	projection_pre_norm	0.0625	0.3125	0.0625	0.375	9.5	10.5
mean	train_no_grad	val	projection_norm_instance_mean	0.0625	0.3125	0.0625	0.3125	9.5	9.0
mean	train_no_grad	val	shared_after_aggregator	0.03125	0.1875	0.09375	0.25	14.0	11.5
mean	train_no_grad	test	raw_cls	0.09375	0.3125	0.0625	0.25	10.0	9.5
mean	train_no_grad	test	token_patch_mean	0.0625	0.21875	0.0625	0.3125	12.5	9.5
mean	train_no_grad	test	projection_pre_norm	0.0625	0.3125	0.0	0.25	11.0	8.5
mean	train_no_grad	test	projection_norm_instance_mean	0.0625	0.3125	0.0625	0.28125	12.0	8.0
mean	train_no_grad	test	shared_after_aggregator	0.03125	0.34375	0.03125	0.3125	10.0	10.0
