latent_space	source_neighborhood_fraction	mean_same_cell_line_purity	min_same_cell_line_purity	mean_same_cell_line_coverage	mean_same_batch_purity	mean_same_perturbation_purity	mean_top1_same_cell_line
z_bio_teacher	0.3333333333333333	0.7899029982363316	0.720164609053498	0.7899029982363316	0.3923427395649618	0.3402410346854791	1.0
z_bio_online	0.3333333333333333	0.7849059376837155	0.720164609053498	0.7849059376837155	0.3833774250440917	0.3400940623162846	1.0
z_bio_plus_z_tech	0.3333333333333333	0.7766754850088183	0.7160493827160493	0.7766754850088183	0.38991769547325106	0.32451499118165783	1.0
z_tech_teacher	0.3333333333333333	0.6491769547325104	0.6090534979423868	0.6491769547325104	0.3725749559082892	0.34112286890064664	1.0
z_bio_teacher	0.5	0.5848450491307634	0.5687830687830688	0.9097589653145208	0.34982048374905517	0.33465608465608465	1.0
z_bio_plus_z_tech	0.5	0.5727985638699924	0.5529100529100529	0.8910199882422105	0.34363189720332576	0.33167989417989413	1.0
z_bio_online	0.5	0.5693972033257747	0.5423280423280423	0.8857289829512052	0.3466080876795163	0.33304988662131524	1.0
z_tech_teacher	0.5	0.5409580498866213	0.5211640211640212	0.8414902998236332	0.3482615268329554	0.3315854119425548	1.0
z_bio_plus_z_tech	0.6666666666666666	0.49492945326278664	0.4835390946502058	0.9898589065255733	0.33289241622574955	0.33289241622574955	1.0
z_bio_teacher	0.6666666666666666	0.4940108759553204	0.4794238683127572	0.9880217519106408	0.328152557319224	0.33285567313345094	1.0
z_bio_online	0.6666666666666666	0.47964432686654906	0.4609053497942387	0.9592886537330981	0.33039388594944147	0.3349867724867725	1.0
z_tech_teacher	0.6666666666666666	0.47450029394473836	0.4567901234567901	0.9490005878894767	0.33450911228689006	0.3325249853027631	1.0
z_bio_online	1.0	0.3333333333333333	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0
z_bio_plus_z_tech	1.0	0.3333333333333333	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0
z_bio_teacher	1.0	0.3333333333333333	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0
z_tech_teacher	1.0	0.3333333333333333	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0
