outer_heldout_perturbation_ids	selected_source_neighborhood_fraction	selected_delta_score_weight	inner_mean_condition_recall_at_1	inner_mean_perturbation_recall_at_1
1,2,3	0.3333333333333333	0.1	0.5277777777777778	0.5888888888888889
1,2,4	0.5	0.05	0.5722222222222222	0.5888888888888889
1,2,5	0.3333333333333333	0.1	0.5055555555555555	0.5277777777777778
1,2,6	0.3333333333333333	0.0	0.55	0.5722222222222222
1,2,7	0.3333333333333333	0.1	0.538888888888889	0.5722222222222222
1,2,8	0.3333333333333333	0.05	0.5166666666666667	0.5444444444444445
1,3,4	0.3333333333333333	0.1	0.5444444444444445	0.5722222222222222
1,3,5	0.3333333333333333	0.2	0.5277777777777778	0.5666666666666667
1,3,6	0.3333333333333333	0.2	0.5444444444444445	0.5777777777777777
1,3,7	0.3333333333333333	0.2	0.5277777777777778	0.5555555555555556
1,3,8	0.3333333333333333	0.05	0.5222222222222223	0.5666666666666667
1,4,5	0.3333333333333333	0.2	0.5277777777777778	0.5555555555555556
1,4,6	0.3333333333333333	0.2	0.5666666666666667	0.6
1,4,7	0.3333333333333333	0.2	0.5722222222222222	0.5833333333333333
1,4,8	0.3333333333333333	0.35	0.5277777777777778	0.5555555555555556
1,5,6	0.3333333333333333	0.1	0.5166666666666667	0.538888888888889
1,5,7	0.3333333333333333	0.05	0.5222222222222223	0.538888888888889
1,5,8	0.3333333333333333	0.2	0.5111111111111112	0.5555555555555556
1,6,7	0.3333333333333333	0.5	0.5333333333333334	0.5666666666666667
1,6,8	0.3333333333333333	0.05	0.5111111111111111	0.5277777777777778
1,7,8	0.3333333333333333	0.1	0.5111111111111112	0.55
2,3,4	0.3333333333333333	0.2	0.5055555555555555	0.538888888888889
2,3,5	0.3333333333333333	0.05	0.5333333333333334	0.5666666666666667
2,3,6	0.3333333333333333	0.05	0.55	0.5722222222222222
2,3,7	0.3333333333333333	0.05	0.5555555555555556	0.5722222222222222
2,3,8	0.3333333333333333	0.05	0.5555555555555556	0.5722222222222222
2,4,5	0.3333333333333333	0.05	0.55	0.5777777777777777
2,4,6	0.3333333333333333	0.1	0.5888888888888889	0.6166666666666667
2,4,7	0.3333333333333333	0.1	0.55	0.5666666666666667
2,4,8	0.6666666666666666	0.1	0.5055555555555555	0.5611111111111111
2,5,6	0.3333333333333333	0.0	0.5166666666666667	0.5333333333333333
2,5,7	0.3333333333333333	0.2	0.538888888888889	0.5722222222222222
2,5,8	0.3333333333333333	0.8	0.4722222222222222	0.5222222222222223
2,6,7	0.3333333333333333	0.05	0.5277777777777778	0.5611111111111111
2,6,8	0.3333333333333333	0.0	0.5	0.5333333333333334
2,7,8	0.3333333333333333	1.0	0.5111111111111111	0.55
3,4,5	0.3333333333333333	0.35	0.5277777777777778	0.5777777777777777
3,4,6	0.3333333333333333	0.2	0.5166666666666667	0.5166666666666667
3,4,7	0.3333333333333333	0.1	0.5222222222222223	0.5333333333333334
3,4,8	0.3333333333333333	0.05	0.49444444444444446	0.5111111111111111
3,5,6	0.3333333333333333	0.2	0.5111111111111111	0.5777777777777777
3,5,7	0.3333333333333333	1.0	0.5333333333333334	0.5666666666666667
3,5,8	0.3333333333333333	0.35	0.5666666666666667	0.6055555555555555
3,6,7	0.5	0.0	0.5222222222222223	0.5611111111111111
3,6,8	0.3333333333333333	0.5	0.5222222222222223	0.55
3,7,8	0.3333333333333333	0.1	0.538888888888889	0.5611111111111111
4,5,6	0.3333333333333333	0.1	0.5277777777777778	0.5555555555555556
4,5,7	0.3333333333333333	0.8	0.5111111111111111	0.5444444444444445
4,5,8	0.3333333333333333	0.2	0.5055555555555555	0.538888888888889
4,6,7	0.3333333333333333	0.65	0.5333333333333333	0.5611111111111111
4,6,8	0.3333333333333333	0.05	0.49444444444444446	0.5277777777777778
4,7,8	0.3333333333333333	0.35	0.4833333333333333	0.5166666666666667
5,6,7	0.3333333333333333	0.5	0.538888888888889	0.5888888888888889
5,6,8	0.3333333333333333	0.0	0.5277777777777778	0.5666666666666667
5,7,8	0.3333333333333333	0.8	0.5166666666666667	0.55
6,7,8	0.3333333333333333	0.5	0.5055555555555555	0.5333333333333333
